ID,Titre,Année,Genres,Note,Votes
tt0035423,Kate & Leopold,2001,"Comedy,Fantasy,Romance",6.4,90627
tt0038687,Let There Be Light,1980,"Documentary,War",7.4,2063
tt0054724,I Eat Your Skin,1971,Horror,3.6,1715
tt0061592,Doomsday Machine,1976,Sci-Fi,2.6,1421
tt0062690,The Awakening of the Beast,1970,"Drama,Horror",5.9,1339
tt0063142,Isle of the Snake People,1971,"Horror,Mystery",3.4,1082
tt0064038,The Land,1970,Drama,8.0,2570
tt0064106,The Butcher,1970,"Drama,Thriller",7.3,9609
tt0064165,The Things of Life,1970,"Drama,Romance",7.4,5759
tt0064177,Colossus: The Forbin Project,1970,"Sci-Fi,Thriller",7.1,10499
tt0064225,Last Known Address,1970,"Crime,Drama,Mystery",6.9,1957
tt0064273,And God Said to Cain...,1970,"Horror,Western",6.7,1760
tt0064285,The Wild Child,1970,"Biography,Drama,History",7.5,9076
tt0064437,The Honeymoon Killers,1970,"Crime,Drama,Romance",7.0,6030
tt0064451,A Touch of Zen,1971,"Action,Adventure,Drama",7.5,7554
tt0064462,I Start Counting,1970,"Mystery,Thriller",6.9,1226
tt0064494,Eugenie,1970,"Drama,Horror",5.2,2077
tt0064546,Witchhammer,1970,"Drama,History,Horror",7.7,3000
tt0064553,King Lear,1970,Drama,8.1,1713
tt0064598,London Affair,1970,"Comedy,Drama,Romance",5.2,1129
tt0064624,Maid in Sweden,1971,Drama,4.4,1548
tt0064687,Assignment Terror,1970,"Horror,Sci-Fi",4.1,1097
tt0064704,Girly,1970,"Comedy,Crime,Horror",6.5,1649
tt0064727,Night of the Blood Monster,1970,"Biography,Horror",5.2,1620
tt0064781,Fruit of Paradise,1970,Drama,6.7,1318
tt0064787,A Quiet Place to Kill,1970,"Crime,Drama,Horror",6.3,1485
tt0064791,Rider on the Rain,1970,"Crime,Drama,Mystery",6.6,3991
tt0064806,The Phantom Tollbooth,1970,"Adventure,Animation,Comedy",6.7,3631
tt0064839,Crime and Punishment,1970,Drama,7.8,1408
tt0064904,Hatchet for the Honeymoon,1970,"Horror,Mystery,Thriller",6.3,4516
tt0064949,Scream and Scream Again,1970,"Crime,Drama,Horror",5.5,4622
tt0065073,Taste the Blood of Dracula,1970,"Drama,Fantasy,Horror",6.3,7108
tt0065134,Two Mules for Sister Sara,1970,"Adventure,Drama,Romance",7.0,31424
tt0065143,The Bird with the Crystal Plumage,1970,"Horror,Mystery,Thriller",7.1,25163
tt0065168,The Nude Vampire,1970,Horror,5.4,1866
tt0065360,"Tick, Tick, Tick",1970,"Action,Crime,Drama",6.7,1402
tt0065377,Airport,1970,"Action,Drama,Thriller",6.6,22689
tt0065380,Alex in Wonderland,1970,"Comedy,Drama",5.4,1023
tt0065391,The American Soldier,1970,Drama,6.5,1975
tt0065396,Reconstruction,1970,"Crime,Drama",7.3,1511
tt0065398,And Soon the Darkness,1970,"Horror,Mystery,Thriller",6.6,4283
tt0065417,Days and Nights in the Forest,1970,Drama,8.1,2988
tt0065421,The Aristocats,1970,"Adventure,Animation,Comedy",7.1,117598
tt0065436,Even Dwarfs Started Small,1970,"Comedy,Drama",6.7,6406
tt0065439,The Confession,1970,"Drama,Thriller",7.8,4935
tt0065446,The Ballad of Cable Hogue,1970,"Comedy,Drama,Romance",7.2,10760
tt0065451,Barquero,1970,"Drama,Western",6.3,2131
tt0065457,Beg,1971,"Drama,History,War",7.8,1293
tt0065462,Beneath the Planet of the Apes,1970,"Action,Adventure,Sci-Fi",6.0,54932
tt0065466,Beyond the Valley of the Dolls,1970,"Comedy,Drama,Music",6.1,12310
tt0065470,Bigfoot,1970,"Horror,Sci-Fi,Thriller",2.7,1010
tt0065478,Blood Mania,1970,Horror,4.0,1108
tt0065481,Bloody Mama,1970,"Crime,Drama",5.7,3939
tt0065486,Borsalino,1970,"Crime,Drama",6.8,5206
tt0065488,The Boys in the Band,1970,Drama,7.6,6106
tt0065489,Brancaleone at the Crusades,1970,"Adventure,Fantasy,History",7.2,2044
tt0065491,Mark of the Devil,1970,"Drama,History,Horror",6.1,4093
tt0065492,Brewster McCloud,1970,"Comedy,Crime,Fantasy",6.8,5895
tt0065509,Sartana's Here... Trade Your Pistol for a Coffin,1970,"Drama,Western",6.2,1115
tt0065511,C.C. & Company,1970,"Action,Comedy,Drama",4.8,1063
tt0065524,Carry on Loving,1970,"Comedy,Romance",5.9,2715
tt0065525,Carry on Up the Jungle,1970,"Adventure,Comedy",5.9,3239
tt0065528,Catch-22,1970,"Comedy,Drama,War",7.1,26986
tt0065531,The Red Circle,1970,"Crime,Drama,Thriller",7.9,29482
tt0065542,The Cheyenne Social Club,1970,Western,6.8,5214
tt0065547,Chisum,1970,"Biography,Drama,Western",6.8,11251
tt0065553,Five Dolls for an August Moon,1970,"Crime,Horror,Mystery",5.7,3602
tt0065555,Violent City,1970,"Action,Crime,Thriller",6.2,3687
tt0065569,Count Dracula,1970,"Drama,Horror",5.6,4057
tt0065570,El Condor,1970,"Action,Adventure,Drama",6.0,1449
tt0065571,The Conformist,1970,Drama,7.9,34644
tt0065579,Cotton Comes to Harlem,1970,"Action,Comedy,Crime",6.4,2779
tt0065580,Countess Dracula,1971,Horror,5.9,4998
tt0065591,Crimes of the Future,1970,"Comedy,Sci-Fi",4.7,3274
tt0065593,Cromwell,1970,"Biography,Drama,History",7.0,7273
tt0065595,Crucible of Horror,1971,"Drama,Horror,Thriller",5.2,1166
tt0065597,Cry of the Banshee,1970,Horror,5.5,3028
tt0065611,Darling Lili,1970,"Comedy,Drama,Musical",6.0,2509
tt0065620,Deadlock,1970,"Thriller,Western",6.5,1497
tt0065622,The Decameron,1971,"Comedy,Drama,History",7.0,12668
tt0065636,Diary of a Mad Housewife,1970,"Comedy,Drama",7.0,2366
tt0065642,Dirty Dingus Magee,1970,"Comedy,Romance,Western",5.2,1098
tt0065649,Dodes'ka-den,1970,Drama,7.3,7824
tt0065651,Bed & Board,1970,"Comedy,Drama,Romance",7.4,10895
tt0065656,Dorian Gray,1970,"Horror,Thriller",5.8,1316
tt0065662,The Pizza Triangle,1970,"Comedy,Drama,Romance",7.1,2427
tt0065666,Pero the Lump's Gang,1970,"Adventure,Family",7.7,1068
tt0065669,The Dunwich Horror,1970,Horror,5.4,5388
tt0065670,Twelve Chairs,1971,"Adventure,Comedy,Crime",8.2,7503
tt0065677,The Forbidden Photos of a Lady Above Suspicion,1970,"Horror,Mystery,Thriller",6.2,2248
tt0065687,Elvis: That's the Way It Is,1970,"Documentary,Music",7.9,3306
tt0065702,Chariots of the Gods,1970,"Documentary,Fantasy",6.2,1780
tt0065720,Figures in a Landscape,1970,"Action,Thriller",6.5,1745
tt0065724,Five Easy Pieces,1970,Drama,7.4,41870
tt0065737,Fragment of Fear,1970,"Crime,Drama,Horror",6.1,1038
tt0065744,The Shiver of the Vampires,1971,"Horror,Mystery",5.6,2365
tt0065755,Gamera vs. Jiger,1970,"Action,Adventure,Family",5.3,1626
tt0065760,Gas! -Or- It Became Necessary to Destroy the World in Order to Save It.,1970,"Comedy,Drama,Sci-Fi",4.2,1739
tt0065761,The Cat o' Nine Tails,1971,"Horror,Mystery,Thriller",6.6,13441
tt0065769,The Gendarme Takes Off,1970,"Comedy,Crime",6.5,7630
tt0065772,Claire's Knee,1970,"Drama,Romance",7.5,12827
tt0065775,Getting Straight,1970,"Comedy,Drama,Romance",6.3,1697
tt0065776,Space Amoeba,1970,"Action,Adventure,Sci-Fi",5.4,1551
tt0065777,The Garden of the Finzi-Continis,1970,"Drama,History,War",7.2,7955
tt0065780,Gimme Shelter,1970,"Documentary,Music,Thriller",7.8,13144
tt0065782,Sunflower,1970,"Drama,War",7.3,4689
tt0065797,The Great White Hope,1970,"Drama,Romance,Sport",6.9,2909
tt0065808,Gods of the Plague,1970,"Crime,Drama",6.4,1560
tt0065820,The Hawaiians,1970,"Adventure,Drama",6.1,1473
tt0065832,Hercules in New York,1970,"Adventure,Comedy,Fantasy",3.3,19922
tt0065836,"Hi, Mom!",1970,"Comedy,Drama",6.1,6118
tt0065839,Hoffman,1970,Drama,6.8,1799
tt0065848,The One Man Band,1970,"Comedy,Musical",6.2,3620
tt0065850,Hornets' Nest,1970,"Action,Drama,War",5.7,1147
tt0065851,The Horror of Frankenstein,1970,"Comedy,Horror,Sci-Fi",5.8,3032
tt0065852,Horror of the Blood Monsters,1970,"Adventure,Horror,Sci-Fi",3.1,1152
tt0065854,The House That Dripped Blood,1971,"Drama,Fantasy,Horror",6.5,7938
tt0065856,House of Dark Shadows,1970,"Drama,Fantasy,Horror",6.2,3541
tt0065867,Husbands,1970,"Comedy,Drama",7.1,7594
tt0065872,I Never Sang for My Father,1970,Drama,7.4,3057
tt0065874,I Walk the Line,1970,Drama,6.5,2424
tt0065889,Investigation of a Citizen Above Suspicion,1970,"Crime,Drama",8.0,13865
tt0065904,The Party at Kitty and Stud's,1970,"Comedy,Drama,Romance",2.5,2535
tt0065908,How I Unleashed World War II,1970,"Adventure,Comedy,War",8.1,3881
tt0065911,Jane Eyre,1970,Drama,6.4,1218
tt0065916,Joe,1970,"Drama,Thriller",6.8,4461
tt0065922,Julius Caesar,1970,"Drama,History,War",6.1,2096
tt0065932,Blind Woman's Curse,1970,"Action,Crime,Horror",6.5,1686
tt0065936,Kati Patang,1970,"Drama,Family,Musical",7.2,1189
tt0065938,Kelly's Heroes,1970,"Adventure,Comedy,War",7.6,55322
tt0065950,The Kremlin Letter,1970,"Crime,Drama,Thriller",6.2,2362
tt0065955,A Love Story,1970,"Drama,Romance",7.3,7729
tt0065963,The Landlord,1970,"Comedy,Drama,Romance",6.9,3204
tt0065969,The Last Valley,1971,"Adventure,Drama,War",7.0,3718
tt0065976,Let It Be,1970,"Documentary,Music",7.6,7924
tt0065979,The Liberation of L.B. Jones,1970,"Crime,Drama,Romance",6.8,1209
tt0065981,The Lickerish Quartet,1970,Drama,5.9,1267
tt0065988,Little Big Man,1970,"Adventure,Comedy,Drama",7.5,38520
tt0065989,Little Fauss and Big Halsy,1970,Drama,5.9,1518
tt0066001,The Looking Glass War,1970,"Action,Drama,Thriller",5.8,1501
tt0066011,Love Story,1970,"Drama,Romance",6.9,38138
tt0066016,Lovers and Other Strangers,1970,Comedy,6.6,1426
tt0066026,M*A*S*H,1970,"Comedy,Drama,War",7.4,79186
tt0066040,Don't Deliver Us from Evil,1971,"Drama,Horror",6.7,2843
tt0066049,A Man Called Horse,1970,"Adventure,Drama,Western",6.8,9634
tt0066050,A Man Called Sledge,1970,Western,5.9,1555
tt0066053,The Man Who Haunted Himself,1970,"Drama,Mystery,Thriller",6.4,2956
tt0066064,The McKenzie Break,1970,"Action,Drama,War",6.5,1735
tt0066070,Mera Naam Joker,1970,"Comedy,Drama",7.9,5485
tt0066078,Michael the Brave,1971,"Action,Biography,Drama",8.4,6607
tt0066090,The Molly Maguires,1970,"Drama,History",6.8,4434
tt0066093,Monte Walsh,1970,Western,7.0,3129
tt0066104,She Killed in Ecstasy,1971,Horror,5.6,2091
tt0066109,The Music Lovers,1971,"Biography,Comedy,Drama",7.2,3157
tt0066115,Myra Breckinridge,1970,Comedy,4.5,3527
tt0066122,Deep End,1970,"Comedy,Drama,Romance",7.2,7808
tt0066124,The Beginning,1970,"Drama,Romance",7.6,1094
tt0066130,Ned Kelly,1970,"Biography,Crime,Drama",5.1,1459
tt0066141,The Night Visitor,1971,"Crime,Horror,Thriller",6.7,2089
tt0066154,No Blade of Grass,1970,"Drama,Sci-Fi",5.8,2099
tt0066160,The Werewolf Versus the Vampire Woman,1971,Horror,5.3,2161
tt0066167,Light the Fuse... Sartana Is Coming,1970,Western,6.4,1302
tt0066181,On a Clear Day You Can See Forever,1970,"Comedy,Drama,Fantasy",6.4,4393
tt0066184,The Only Game in Town,1970,"Comedy,Drama,Romance",5.7,1097
tt0066193,The Out of Towners,1970,Comedy,7.0,9545
tt0066195,The Owl and the Pussycat,1970,"Comedy,Romance",6.4,4522
tt0066206,Patton,1970,"Biography,Drama,War",7.9,109720
