ID,Titre,Année,Genres,Note,Votes,Titre Français,Nom du/des Réalisateur(s)
tt0035423,Kate & Leopold,2001,"Comedy,Fantasy,Romance",6.4,90627,Kate et Léopold,['James Mangold']
tt0038687,Let There Be Light,1980,"Documentary,War",7.4,2063,Que la lumière soit,['John Huston']
tt0054724,I Eat Your Skin,1971,Horror,3.6,1715,,['Del Tenney']
tt0061592,Doomsday Machine,1976,Sci-Fi,2.6,1421,,"['Harry Hope', 'Lee Sholem', 'Herbert J. Leder']"
tt0062690,The Awakening of the Beast,1970,"Drama,Horror",5.9,1339,L'éveil de la bête,['José Mojica Marins']
tt0063142,Isle of the Snake People,1971,"Horror,Mystery",3.4,1082,,"['Juan Ibáñez', 'Jack Hill']"
tt0064038,The Land,1970,Drama,8.0,2570,La terre,['Youssef Chahine']
tt0064106,The Butcher,1970,"Drama,Thriller",7.3,9609,Le boucher,['Claude Chabrol']
tt0064165,The Things of Life,1970,"Drama,Romance",7.4,5759,Les choses de la vie,['Claude Sautet']
tt0064177,Colossus: The Forbin Project,1970,"Sci-Fi,Thriller",7.1,10499,Le cerveau d'acier,['Joseph Sargent']
tt0064225,Last Known Address,1970,"Crime,Drama,Mystery",6.9,1957,Dernier domicile connu,['José Giovanni']
tt0064273,And God Said to Cain...,1970,"Horror,Western",6.7,1760,"Un homme, un cheval, un fusil",['Antonio Margheriti']
tt0064273,And God Said to Cain...,1970,"Horror,Western",6.7,1760,Et le vent apporta la violence,['Antonio Margheriti']
tt0064285,The Wild Child,1970,"Biography,Drama,History",7.5,9076,L'enfant sauvage,['François Truffaut']
tt0064437,The Honeymoon Killers,1970,"Crime,Drama,Romance",7.0,6030,Les Tueurs de la lune de miel,"['Leonard Kastle', 'Martin Scorsese', 'Donald Volkman']"
tt0064451,A Touch of Zen,1971,"Action,Adventure,Drama",7.5,7554,Les héroïques,['King Hu']
tt0064451,A Touch of Zen,1971,"Action,Adventure,Drama",7.5,7554,A Touch of Zen,['King Hu']
tt0064462,I Start Counting,1970,"Mystery,Thriller",6.9,1226,,['David Greene']
tt0064494,Eugenie,1970,"Drama,Horror",5.2,2077,Inassouvies,['Jesús Franco']
tt0064494,Eugenie,1970,"Drama,Horror",5.2,2077,Les inassouvies,['Jesús Franco']
tt0064546,Witchhammer,1970,"Drama,History,Horror",7.7,3000,Le marteau des sorcières,['Otakar Vávra']
tt0064546,Witchhammer,1970,"Drama,History,Horror",7.7,3000,Un marteau pour les sorcières,['Otakar Vávra']
tt0064553,King Lear,1970,Drama,8.1,1713,Le roi Lear,"['Grigoriy Kozintsev', 'Iosif Shapiro']"
